model_type,stage,learning_rate,train_mae,validation_mae,test_mae
gradient_boosting,286,0.03,26.82371359474161,39.2763135359496,38.849916816644466
gradient_boosting,287,0.03,26.8022757851125,39.23436994050555,38.844061662654084
gradient_boosting,288,0.03,26.770579525338277,39.280670124610104,38.858383653495906
gradient_boosting,289,0.03,26.74343598397942,39.33474642676094,38.871024987755966
gradient_boosting,290,0.03,26.71802853478822,39.34728502001358,38.87782631748252
gradient_boosting,291,0.03,26.698253151532587,39.334671619412966,38.871321560289466
gradient_boosting,292,0.03,26.679275207965848,39.32740595614417,38.879592984533055
gradient_boosting,293,0.03,26.65431154020474,39.33534901074729,38.898061748202345
gradient_boosting,294,0.03,26.64145715637101,39.3199833507048,38.8896160631002
gradient_boosting,295,0.03,26.63213673081094,39.30300308409772,38.8888619088791
gradient_boosting,296,0.03,26.607655293377785,39.25041232755454,38.848216786120574
gradient_boosting,297,0.03,26.584013268358973,39.23594213061341,38.851447676035214
gradient_boosting,298,0.03,26.55197908518783,39.216234590823895,38.82565439695746
gradient_boosting,299,0.03,26.526544507654823,39.19658668834962,38.82234182739441
gradient_boosting,300,0.03,26.497458997777226,39.175799137604244,38.81709203397997
gradient_boosting,301,0.03,26.474822297341955,39.17793646265367,38.80436732719514
gradient_boosting,302,0.03,26.46676032328753,39.18633558281568,38.80346352996736
gradient_boosting,303,0.03,26.449882053876298,39.22832058058438,38.79363094681873
gradient_boosting,304,0.03,26.414471311548844,39.222774677758274,38.79261349593695
gradient_boosting,305,0.03,26.387791376322866,39.200732526704876,38.79864566641401
gradient_boosting,306,0.03,26.364858436636425,39.18453085762215,38.78675527040197
gradient_boosting,307,0.03,26.344872670631133,39.17796733022353,38.776933503049904
gradient_boosting,308,0.03,26.332693998333987,39.175252516159894,38.77893419976927
gradient_boosting,309,0.03,26.32081148377887,39.18557863281432,38.77063346393284
gradient_boosting,310,0.03,26.295718617036194,39.18302682023615,38.79823649757251
gradient_boosting,311,0.03,26.279917350182306,39.172742389693724,38.769719376933004
gradient_boosting,312,0.03,26.254304108227764,39.154515681270894,38.74591670558249
gradient_boosting,313,0.03,26.238951282869255,39.1410787181224,38.73768203486301
gradient_boosting,314,0.03,26.231947917350592,39.16157994478977,38.73554953328646
gradient_boosting,315,0.03,26.209650347904265,39.20124150132736,38.77118800735361
gradient_boosting,316,0.03,26.190951745598646,39.21154776836825,38.785116575938474
gradient_boosting,317,0.03,26.167951765469528,39.188610583408106,38.765695015094664
gradient_boosting,318,0.03,26.156969399847405,39.18931905241934,38.76280246448262
gradient_boosting,319,0.03,26.142011235275355,39.19778235764021,38.763553659643634
gradient_boosting,320,0.03,26.120990098948287,39.159169994397786,38.73639239244061
gradient_boosting,321,0.03,26.09749533421612,39.179452196852914,38.73322081855174
gradient_boosting,322,0.03,26.086791362249485,39.22431429093902,38.73989960682092
gradient_boosting,323,0.03,26.063804969544364,39.2248734946932,38.73380746721023
gradient_boosting,324,0.03,26.050826420037264,39.22225709011247,38.742212603358674
gradient_boosting,325,0.03,26.031770748435292,39.22381236999368,38.73257920103331
gradient_boosting,326,0.03,26.016002746713426,39.23259671347061,38.736664611787816
gradient_boosting,327,0.03,25.99314479149546,39.21352084626607,38.73765791436409
gradient_boosting,328,0.03,25.980498758555374,39.217954932081284,38.72660317736621
gradient_boosting,329,0.03,25.952782583491707,39.19178127458169,38.70214287855709
gradient_boosting,330,0.03,25.94078217167966,39.20639826542976,38.70026769239932
gradient_boosting,331,0.03,25.925279127320824,39.21035587691765,38.67971785393796
gradient_boosting,332,0.03,25.902755123170547,39.24061512007849,38.682239359482026
gradient_boosting,333,0.03,25.883545187431643,39.256828284551645,38.67288189306299
gradient_boosting,334,0.03,25.86161334215387,39.22177110858912,38.63412253682105
gradient_boosting,335,0.03,25.84580253097796,39.24038011977787,38.62854925002313
gradient_boosting,336,0.03,25.81797443417285,39.22735051241027,38.62054026814814
gradient_boosting,337,0.03,25.800307171640043,39.23479858558141,38.615404097235306
gradient_boosting,338,0.03,25.775029896721268,39.217373665924626,38.601044927320864
gradient_boosting,339,0.03,25.762208098777233,39.22357061180776,38.58866110709598
gradient_boosting,340,0.03,25.743172922611148,39.246086299801966,38.64139559939669
gradient_boosting,341,0.03,25.728465296891176,39.24972505688083,38.63403646653491
gradient_boosting,342,0.03,25.71537346988935,39.24509177546998,38.617231494645566
gradient_boosting,343,0.03,25.694409806194994,39.23688072780556,38.60505908693749
gradient_boosting,344,0.03,25.65897242775438,39.201353291444484,38.57823558209473
gradient_boosting,345,0.03,25.62070104792783,39.15600487255632,38.54273322629359
gradient_boosting,346,0.03,25.61057802840811,39.18177706914335,38.529439999157624
gradient_boosting,347,0.03,25.603197725646123,39.18498886607076,38.52448929530557
gradient_boosting,348,0.03,25.58355062755537,39.17411913118567,38.52903778202563
gradient_boosting,349,0.03,25.572032354745197,39.18491528699054,38.523341685859364
gradient_boosting,350,0.03,25.560726966020336,39.21562711710689,38.54852946779457
gradient_boosting,351,0.03,25.539446444508354,39.222073305188694,38.52030938919489
gradient_boosting,352,0.03,25.529701022316434,39.22300013639269,38.50793158253753
gradient_boosting,353,0.03,25.513826284137508,39.216192520726494,38.509454962957285
gradient_boosting,354,0.03,25.491632086637473,39.19620294389523,38.48806327797188
gradient_boosting,355,0.03,25.472632123654304,39.181989742525055,38.48707393907947
gradient_boosting,356,0.03,25.449932429632288,39.17617683239388,38.488853401738275
gradient_boosting,357,0.03,25.444279282442302,39.18238238510127,38.49120713607014
gradient_boosting,358,0.03,25.438306380396014,39.19218209362833,38.50637171775448
gradient_boosting,359,0.03,25.412924282063955,39.215343213134304,38.519514246323865
gradient_boosting,360,0.03,25.38234421282696,39.24070314129422,38.50688549498612
gradient_boosting,361,0.03,25.37132632078965,39.22619468654145,38.511172485728906
gradient_boosting,362,0.03,25.361212501016766,39.262511518890086,38.58771932277135
gradient_boosting,363,0.03,25.351041087481896,39.29109198909767,38.595691072167064
gradient_boosting,364,0.03,25.34034459044325,39.302784975059815,38.605697369990374
