chemical_compound_name,formula,Cp_298_J_per_molK,smiles,pubchem_cid,pubchem_matched_name,n_methods,methods,row_count
"2,3-dimethylpentane",C7H16,158.723,CCC(C)C(C)C,11260.0,"2,3-dimethylpentane",1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
"2,3-epoxy-1-propanol",C3H6O2,84.618,OCC1CO1,11164.0,oxiran-2-ylmethanol,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
"2,3-pentadiene",C5H8,100.922,CC=C=CC,136378.0,"penta-2,3-diene",1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
"2,4,4-trimethyl-1-pentene",C8H16,174.686,C=C(C)CC(C)(C)C,7868.0,"2,4,4-trimethylpent-1-ene",1,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,1
"2,4,4-trimethyl-2-pentene",C8H16,177.796,CC(C)=CC(C)(C)C,7869.0,"2,4,4-trimethylpent-2-ene",1,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,1
"2,4-dimethyl-3-pentanone",C7H14O,166.16,CC(C)C(=O)C(C)C,11271.0,"2,4-dimethylpentan-3-one",1,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,1
"2,4-dimethylpentane",C7H16,158.434,CC(C)CC(C)C,7907.0,"2,4-dimethylpentane",1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
"2,4-pentanedione",C5H8O2,123.275,CC(=O)CC(C)=O,31261.0,"pentane-2,4-dione",1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
"2,5-dimethyl-2,4-hexadiene",C8H14,167.519,CC(C)=CC=C(C)C,12992.0,"2,5-dimethylhexa-2,4-diene",1,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,1
"2,6-dimethylpyridine",C7H9N,128.836,Cc1cccc(C)n1,7937.0,"2,6-dimethylpyridine",1,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,1
2-aminoacetic acid,C2H5NO2,87.045,NCC(=O)O,750.0,2-aminoacetic acid,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
2-aminoethan-1-ol,C2H7NO,82.129,NCCO,700.0,2-aminoethanol,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
2-butanamine,C4H11N,112.926,CCC(C)N,24874.0,butan-2-amine,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
2-butyne,C4H6,81.613,CC#CC,10419.0,but-2-yne,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
2-ethoxy-2-methylpropane,C6H14O,154.713,CCOC(C)(C)C,12512.0,2-ethoxy-2-methylpropane,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
2-ethyl-1-butene,C6H12,126.786,C=C(CC)CC,12970.0,3-methylidenepentane,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
2-furaldehyde,C5H4O2,92.696,O=Cc1ccco1,7362.0,furan-2-carbaldehyde,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
2-hexanol,C6H14O,150.949,CCCCC(C)O,12297.0,hexan-2-ol,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
2-hydroxymethylfuran,C5H6O2,105.409,OCc1ccco1,7361.0,furan-2-ylmethanol,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
2-methoxy-2-methylbutane,C6H14O,154.423,CCC(C)(C)OC,61247.0,2-methoxy-2-methylbutane,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
2-methoxy-2-methylpropane,C5H12O,133.662,COC(C)(C)C,15413.0,2-methoxy-2-methylpropane,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
"2-methyl-1,3-butadiene",C5H8,97.837,C=CC(=C)C,6557.0,"2-methylbuta-1,3-diene",1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
"2-methyl-1,3-dioxolane",C4H8O2,97.726,CC1OCCO1,10342.0,"2-methyl-1,3-dioxolane",1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
2-methyl-1-butanol,C5H12O,130.287,CCC(C)CO,8723.0,2-methylbutan-1-ol,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
2-methyl-1-butene,C5H10,106.498,C=C(C)CC,11240.0,2-methylbut-1-ene,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
2-methyl-1-hexene,C7H14,147.593,C=C(C)CCCC,22468.0,2-methylhex-1-ene,1,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,1
