formula,chemical_compound_name,Cp_298_J_per_molK,calculation_method,comment,smiles,pubchem_cid,pubchem_matched_name,lookup_status,smiles_found
C5H8,"1,4-pentadiene",95.877,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=CCC=C,11587.0,"penta-1,4-diene",ok,True
C5H8,"1,2-pentadiene",99.336,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=C=CCC,11588.0,"penta-1,2-diene",ok,True
C6H10,"1,5-hexadiene",116.465,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=CCCC=C,11598.0,"hexa-1,5-diene",ok,True
C6H8,"1,3-cyclohexadiene",93.685,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1=CCCC=C1,11605.0,"cyclohexa-1,3-diene",ok,True
C4H8,methylcyclopropane,78.409,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC1CC1,11657.0,methylcyclopropane,ok,True
C5H8,3-methyl-1-butyne,102.963,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C#CC(C)C,69019.0,3-methylbut-1-yne,ok,True
C5H8,"3-methyl-1,2-butadiene",102.409,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=C=C(C)C,11714.0,"3-methylbuta-1,2-diene",ok,True
C4H10O,isopropyl methyl ether,108.252,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,COC(C)C,11721.0,2-methoxypropane,ok,True
C5H12O,3-methyl-2-butanol,133.098,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,CC(C)C(C)O,11732.0,3-methylbutan-2-ol,ok,True
C4H10O,diethyl ether,105.31,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCOCC,3283.0,ethoxyethane,ok,True
C5H12O,pentan-2-ol,130.404,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,CCCC(C)O,22386.0,pentan-2-ol,ok,True
C2H5NO,ethanamide,77.843,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(N)=O,178.0,acetamide,ok,True
C4H10,butane,91.679,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCC,7843.0,butane,ok,True
C4H8,1-butene,83.47,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=CCC,7844.0,but-1-ene,ok,True
C4H6,"1,3-butadiene",75.056,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=CC=C,7845.0,"buta-1,3-diene",ok,True
C6H12,(E)-3-methyl-2-pentene,129.856,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C/C=C(\C)CC,642661.0,(E)-3-methylpent-2-ene,ok,True
C4H6,1-butyne,79.937,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C#CCC,7846.0,but-1-yne,ok,True
C3H9N,propan-1-amine,89.64,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCN,7852.0,propan-1-amine,ok,True
C4H8,(E)-2-butene,85.86,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C/C=C/C,62695.0,(E)-but-2-ene,ok,True
C3H3N,acrylonitrile,63.265,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=CC#N,7855.0,prop-2-enenitrile,ok,True
C2H8N2,"ethane-1,2-diamine",87.008,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,NCCN,3301.0,"ethane-1,2-diamine",ok,True
C5H8,1-pentyne,100.425,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C#CCCC,12309.0,pent-1-yne,ok,True
C5H10,(Z)-2-pentene,105.555,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C/C=C\CC,5326160.0,(Z)-pent-2-ene,ok,True
C5H8,2-pentyne,101.458,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC#CCC,12310.0,pent-2-yne,ok,True
