name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,heat_capacity,canonical_smiles
decanoic acid,CCCCCCCCCC(=O)O,Thermo_Experimental,C10H20O2,172.268,8,1,1,37.3,3.21,31.0,270.0,332.46,CCCCCCCCCC(=O)O
ethylene diacrylate,C=CC(=O)OCCOC(=O)C=C,Thermo_Experimental,C8H10O4,170.164,7,0,4,52.6,0.44,188.5,219.29,256.88,C=CC(=O)OCCOC(=O)C=C
n-methyloctylamine,CCCCCCCCNC,Thermo_Experimental,C9H21N,143.274,7,1,1,12.03,2.57,-11.0,78.5,300.45,CCCCCCCCNC
isopropanol,CC(C)O,Thermo_Experimental,C3H8O,60.096,0,1,1,20.23,0.39,-89.5,82.21,155.17,CC(C)O
tris(hydroxyethyl) isocyanurate,O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,Thermo_Experimental,C9H15N3O6,261.234,6,3,6,126.69,-3.85,136.0,661.1,387.54,O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO
diisobutylamine,CC(C)CNCC(C)C,Thermo_Experimental,C8H19N,129.247,4,1,1,12.03,1.89,-75.25,139.6,271.2,CC(C)CNCC(C)C
caspan,C[Hg]Cl,Thermo_Experimental,CH3ClHg,251.078,0,0,0,0.0,1.27,167.0,170.0,84.46,[CH3][Hg][Cl]
"3-methyl-1,2-cyclohexanedione",CC1CCCC(=O)C1=O,Thermo_Experimental,C7H10O2,126.155,0,0,2,34.14,0.94,62.0,70.5,212.62,CC1CCCC(=O)C1=O
phosphoryl chloride,O=P(Cl)(Cl)Cl,Thermo_Experimental,Cl3OP,153.332,0,0,1,17.07,2.81,1.25,105.5,69.39,O=P(Cl)(Cl)Cl
methyl 4-methylbenzoate,COC(=O)c1ccc(C)cc1,Thermo_Experimental,C9H10O2,150.177,2,0,2,26.3,1.78,34.0,217.22,242.63,COC(=O)c1ccc(C)cc1
citiolone,CC(=O)NC1CCSC1=O,Thermo_Experimental,C6H9NO2S,159.21,1,1,3,46.17,0.15,111.0,298.7,226.15,CC(=O)NC1CCSC1=O
2-butanol,CCC(C)O,Thermo_Experimental,C4H10O,74.123,1,1,1,20.23,0.78,-115.0,99.4,196.77,CCC(C)O
neopentyl glycol,CC(C)(CO)CO,Thermo_Experimental,C5H12O2,104.149,2,2,2,40.46,0.0,127.0,207.0,198.84,CC(C)(CO)CO
(3-mercaptopropyl)trimethoxysilane,CO[Si](CCCS)(OC)OC,Thermo_Experimental,C6H16O3SSi,196.344,6,1,4,27.69,1.18,-97.8,214.0,310.19,CO[Si](CCCS)(OC)OC
